id	team	year	stats_league	is_pitcher	is_new	is_foreign	games_played	plate_appearances	singles	doubles	triples	home_runs	strikeouts	bases_on_balls	runs
3163	han	2009	npb	true	false	false	32	200	29	0	0	8	34	9	17
2970	orx	2009	npb	false	false	false	55	137	21	5	0	0	15	6	12
419	hir	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
416	lot	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2974	yom	2009	npb	false	false	false	125	484	65	27	0	24	66	44	60
2963	lot	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
2754	hir	2009	npb	true	false	false	11	53	16	0	0	1	6	2	4
451	rak	2009	npb	true	false	false	41	348	78	0	0	8	61	26	39
3472	lot	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
2903	han	2009	npb	true	false	false	25	656	150	0	0	8	111	41	57
450	hir	2009	npb	true	false	false	24	242	61	0	0	8	28	12	32
3414	yak	2009	npb	false	false	false	112	500	106	29	5	14	47	42	85
3011	hir	2009	npb	false	false	false	135	443	90	8	1	4	76	34	49
3690	yom	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
464	chu	2009	npb	true	false	false	44	199	43	0	0	0	35	9	11
3171	sft	2009	npb	true	false	false	15	411	82	0	0	7	105	39	55
2935	sft	2009	npb	false	false	false	55	105	16	7	0	1	18	3	11
2304	chu	2009	npb	false	false	false	130	591	110	15	2	4	81	35	64
463	nip	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
453	chu	2009	npb	false	false	false	24	19	3	0	0	0	5	0	2
2670	han	2009	npb	false	false	false	94	410	78	22	4	8	83	35	54
2799	chu	2009	npb	true	false	false	12	255	62	0	0	5	30	20	27
3030	rak	2009	npb	true	false	false	66	179	31	0	0	2	45	17	10
3032	rak	2009	npb	true	false	false	29	662	149	0	0	16	122	60	81
455	sft	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
462	sei	2009	jhs	false	true	false	0	0	0	0	0	0	0	0	0
3637	han	2009	npb	true	false	true	42	436	95	0	0	9	85	26	50
2904	han	2009	npb	false	false	false	31	52	8	3	1	0	8	1	3
461	sft	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
2966	rak	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2284	yak	2009	npb	false	false	false	101	339	65	5	1	7	52	19	27
427	hir	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
426	hir	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
431	chu	2009	npb	true	false	false	1	4	0	0	0	0	0	1	0
2683	sei	2009	npb	false	false	false	68	180	29	7	1	2	37	14	29
3526	hir	2009	npb	false	false	false	125	390	67	13	1	7	67	23	62
423	yom	2009	npb	true	false	false	3	21	6	0	0	0	1	0	2
3371	lot	2009	npb	false	false	true	97	323	59	12	3	5	51	42	35
3819	sft	2009	unknown	false	true	false	0	0	0	0	0	0	0	0	0
2901	han	2009	npb	false	false	false	144	645	160	15	1	0	87	73	94
429	yak	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
430	rak	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
3679	sft	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
2693	orx	2009	npb	false	false	false	10	22	1	1	0	2	6	1	2
3344	sft	2009	npb	false	false	false	29	55	8	2	1	0	17	1	8
424	lot	2009	npb	true	false	false	4	22	2	0	0	1	2	4	3
3658	han	2009	npb	false	false	true	77	158	18	9	0	3	28	17	21
3699	sei	2009	unknown	true	true	true	0	0	0	0	0	0	0	0	0
3684	yak	2009	unknown	true	true	true	0	0	0	0	0	0	0	0	0
1368	yom	2009	npb	true	false	true	15	312	60	0	0	7	47	18	33
3673	lot	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
3565	hir	2009	npb	false	false	true	0	0	0	0	0	0	0	0	0
3651	sei	2009	npb	false	false	true	78	279	27	13	0	20	76	24	43
3652	han	2009	npb	false	false	true	130	521	64	19	0	27	139	30	59
3661	nip	2009	npb	false	false	true	55	159	22	9	0	5	53	14	14
1363	yom	2009	juniv	true	true	false	0	0	0	0	0	0	0	0	0
3682	chu	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
1397	sft	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
3675	rak	2009	unknown	true	true	true	0	0	0	0	0	0	0	0	0
3689	han	2009	unknown	true	true	true	0	0	0	0	0	0	0	0	0
3442	chu	2009	npb	true	false	true	39	474	94	0	0	7	107	33	40
3692	yok	2009	unknown	true	true	true	0	0	0	0	0	0	0	0	0
2945	orx	2009	npb	false	false	true	138	576	93	28	2	36	110	62	88
3686	yak	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
3460	nip	2009	npb	true	false	false	25	764	125	0	0	11	208	44	44
1482	nip	2009	npb	true	false	false	1	22	4	0	0	0	2	3	1
1490	chu	2009	npb	false	false	false	3	1	0	0	0	0	1	0	0
1488	sft	2009	jindust	false	true	false	0	0	0	0	0	0	0	0	0
